,ID,UTTERANCE,RELATIONS,primary_relation,split
3183,3183,alfred hitchcock's best films,movie.directed_by movie.star_rating,movie.directed_by,train
915,915,I'd like to know some spanish movies,movie.country movie.language,movie.country,train
3221,3221,what upcoming movies are they producing,movie.production_companies movie.initial_release_date,movie.production_companies,train
2800,2800,show me the revenue created by romeo must die,movie.gross_revenue,movie.gross_revenue,train
2487,2487,what movies came out of russia last year,movie.country movie.initial_release_date,movie.country,train
2258,2258,rating for the green hornet,movie.rating,movie.rating,train
1387,1387,get all brad pitt produced movies,movie.produced_by,movie.produced_by,train
2885,2885,list women married to directors in the movies,movie_other,movie_other,train
2796,2796,revenue for ms. congeniality,movie.gross_revenue,movie.gross_revenue,train
1094,1094,show me a list of some japanese movies,movie.country movie.language,movie.country,train
1324,1324,i would like to see french movies,movie.country movie.language,movie.country,train
2638,2638,find movies about haunting,movie.subjects,movie.subjects,train
831,831,can i get a list of movies available in english,movie.language,movie.language,train
237,237,what was the budget for the hobbit,movie.estimated_budget,movie.estimated_budget,train
2140,2140,who is the producer of grease,movie.produced_by,movie.produced_by,train
3241,3241,show me the movies released in london,movie.release release.region,movie.release,train
2588,2588,list only jason statham movies,movie.starring.actor,movie.starring.actor,train
198,198,get me info on the budget for avatar,movie.estimated_budget,movie.estimated_budget,train
43,43,roll credits for top gun,movie.starring.actor,movie.starring.actor,train
1728,1728,show me more details for the movie in july,NO_REL,NO_REL,train
1136,1136,show me nc seventeen movies,movie.rating,movie.rating,train
95,95,what was the cast of black swan,movie.starring.actor,movie.starring.actor,train
1034,1034,show me all the information about the movie dirty dancing like story reviews cast etc,NO_REL,NO_REL,train
923,923,show me spanish movies,movie.country movie.language,movie.country,train
1520,1520,show all movies directed by woody allen,movie.directed_by,movie.directed_by,train
2753,2753,what is the revenue for fast and the furious,movie.gross_revenue,movie.gross_revenue,train
2862,2862,find ratings,movie_other,movie_other,train
477,477,tell me the director of the film the dark knight,movie.directed_by,movie.directed_by,train
181,181,budget for titanic,movie.estimated_budget,movie.estimated_budget,train
2890,2890,what are the logos for popular production companies,movie_other,movie_other,train
1988,1988,give me a list of directors,NO_REL,NO_REL,train
2373,2373,the budget of the russian movie return,movie.country movie.estimated_budget,movie.country,train
3274,3274,what are the ratings for movies,movie.rating,movie.rating,train
2416,2416,what is the movie release date for omg oh my god,movie.initial_release_date,movie.initial_release_date,train
2190,2190,who produced the movie the dark knight,movie.produced_by,movie.produced_by,train
2792,2792,what was men in black 3's revenue,movie.gross_revenue,movie.gross_revenue,train
1602,1602,which movies are rated r,movie.rating,movie.rating,train
503,503,rocky director,movie.directed_by,movie.directed_by,train
1716,1716,display details of in july movie,NO_REL,NO_REL,train
3044,3044,what are some different movie genres,movie_other,movie_other,train
1086,1086,do you have any movies made in japan,movie.country,movie.country,train
1620,1620,show me movies in spanish,movie.language,movie.language,train
466,466,who are the directors of gone with the wind,movie.directed_by,movie.directed_by,train
2798,2798,find revenue from my boys,movie.gross_revenue,movie.gross_revenue,train
3257,3257,see images of steven spielberg,person.picture,person.picture,train
886,886,what movies do you have that were made in italy,movie.country,movie.country,train
1012,1012,show me sarah polley movies,movie.starring.actor,movie.starring.actor,train
1064,1064,show me the movies acted by bala krishna,movie.starring.actor,movie.starring.actor,train
29,29,find the male actor from dirty harry,movie.starring.actor actor.gender,movie.starring.actor,train
2290,2290,what did et gross,movie.gross_revenue,movie.gross_revenue,train
2070,2070,show me information on tom hanks,NO_REL,NO_REL,train
2352,2352,how much was the budget for e.t.,movie.estimated_budget,movie.estimated_budget,train
2539,2539,show me movies released in september,movie.initial_release_date,movie.initial_release_date,train
1313,1313,i am looking for movies made in france,movie.country,movie.country,train
3330,3330,play the trailer for the campaign,movie.trailer,movie.trailer,train
3254,3254,what movies did meryl streep win her oscars,award.winning_work person.award award.ceremony,award.winning_work,train
1644,1644,show me zombie movies,movie.subjects,movie.subjects,train
2255,2255,is it appropriate to take my 16 year old to see land of the lost,movie.rating,movie.rating,train
2376,2376,budget for snow white and the huntsman,movie.estimated_budget,movie.estimated_budget,train
473,473,who's the director of pi,movie.directed_by,movie.directed_by,train
887,887,movies from italy,movie.country,movie.country,train
2,2,who was the main actor in the exorcist,movie.starring.actor,movie.starring.actor,train
2385,2385,show me the possession's budget,movie.estimated_budget,movie.estimated_budget,train
2247,2247,what is grease rated,movie.rating,movie.rating,train
1534,1534,i only want to see movies in german,movie.language,movie.language,train
173,173,how much was hunger games made for,movie.estimated_budget,movie.estimated_budget,train
2496,2496,show movies directed by greenberg,movie.directed_by,movie.directed_by,train
2369,2369,what did it cost to make paranorman,movie.estimated_budget,movie.estimated_budget,train
1935,1935,find sandra bullock's latest movie,movie.starring.actor movie.initial_release_date,movie.starring.actor,train
1809,1809,find movies with tom cruise in them,movie.starring.actor,movie.starring.actor,train
1445,1445,i need general information on finding nemo,NO_REL,NO_REL,train
2747,2747,revenue for breaking dawn,movie.gross_revenue,movie.gross_revenue,train
2410,2410,find date omg,movie.initial_release_date,movie.initial_release_date,train
931,931,list some movies that are in french,movie.language,movie.language,train
3099,3099,find selected info,other,other,train
1877,1877,show me pg movies,movie.rating,movie.rating,train
3197,3197,show me the movie highlights,movie.trailer,movie.trailer,train
1947,1947,show me the latest movies in kannada,movie.language,movie.language,train
644,644,what genre is step up in,movie.genre,movie.genre,train
2213,2213,goto warner brothers,NO_REL,NO_REL,train
2064,2064,steven spielberg,NO_REL,NO_REL,train
604,604,search for the name of the director of return,movie.directed_by,movie.directed_by,train
3332,3332,how many awards did alfred hitchcock win for directing,person.award award.category,person.award,train
1298,1298,can you show me movies about war,movie.subjects,movie.subjects,train
2665,2665,where can i find the movie amelie in french,movie.language,movie.language,train
1051,1051,find synopsis for life is beautiful,NO_REL,NO_REL,train
1848,1848,i am looking for movies that are rated pg for family movie night,movie.rating,movie.rating,train
2819,2819,the cabin in the woods revenue,movie.gross_revenue,movie.gross_revenue,train
2089,2089,what is the name of the company that produced sparkle,movie.produced_by,movie.produced_by,train
2648,2648,search for movies about preschool boys,movie.subjects,movie.subjects,train
1607,1607,spanish language movies,movie.language,movie.language,train
2063,2063,stephen spielberg biography,NO_REL,NO_REL,train
947,947,find all films showing in french,movie.language,movie.language,train
1864,1864,pg movies,movie.rating,movie.rating,train
2614,2614,movies about classic cars,movie.subjects,movie.subjects,train
73,73,cast of dirty dancing,movie.starring.actor,movie.starring.actor,train
1296,1296,search movies by noah baumbach,movie.directed_by,movie.directed_by,train
2485,2485,i would like to search for movies from asia,movie.country,movie.country,train
137,137,list the actors in forager,movie.starring.actor,movie.starring.actor,train
2404,2404,when was finding nemo 3d released,movie.initial_release_date,movie.initial_release_date,train
2686,2686,was the movie heroine released in september of twenty twelve,movie.initial_release_date,movie.initial_release_date,train
2639,2639,show me movies that talk about healthy eating,movie.subjects,movie.subjects,train
3094,3094,september twenty eight,other,other,train
2508,2508,show me a sam wood and victor fleming film,movie.directed_by,movie.directed_by,train
2528,2528,where can i find a list of movies released nine fourteen twenty twelve,movie.initial_release_date,movie.initial_release_date,train
3061,3061,what does the paramount logo look like,movie_other,movie_other,train
548,548,director for anne of green gables,movie.directed_by,movie.directed_by,train
3011,3011,pg information,movie_other,movie_other,train
834,834,movies in english,movie.language,movie.language,train
2990,2990,i would like to get details about the information in orange,other,other,train
1570,1570,show me a list of all movies directed by tom hanks starting with newest to oldest,movie.directed_by movie.initial_release_date,movie.directed_by,train
484,484,who directed hard days night,movie.directed_by,movie.directed_by,train
977,977,movies from england,movie.country,movie.country,train
2995,2995,i'm looking for a map of britain,other,other,train
2570,2570,what movies did disney produce in 1998,movie.production_companies movie.initial_release_date,movie.production_companies,train
508,508,who did avatar,movie.directed_by,movie.directed_by,train
2949,2949,show me pictures of beautiful people,other,other,train
257,257,how many movies has lionsgate done,movie.production_companies,movie.production_companies,train
2316,2316,how much did jurassic park make,movie.gross_revenue,movie.gross_revenue,train
224,224,gone with the wind's budget information please,movie.estimated_budget,movie.estimated_budget,train
2569,2569,get movie information for lionsgate,movie.produced_by,movie.produced_by,train
512,512,who directed the film avatar,movie.directed_by,movie.directed_by,train
878,878,are there any canadian movies,movie.country,movie.country,train
582,582,who directed soul surfer,movie.directed_by,movie.directed_by,train
3007,3007,never would watch this movie with a rating of dredd change rating,movie_other,movie_other,train
1549,1549,find me movies by jj abrams,movie.directed_by,movie.directed_by,train
2956,2956,change rating because sometimes monsters scare kids,other,other,train
2532,2532,search nineteen ninety 's movies,movie.initial_release_date,movie.initial_release_date,train
2538,2538,show me movies coming out in september,movie.initial_release_date,movie.initial_release_date,train
2250,2250,what is the rating of dirty dancing,movie.rating,movie.rating,train
1146,1146,more stuff about the movie go,NO_REL,NO_REL,train
3224,3224,which movies filmed in asia won academy awards,movie.locations movie.award award.ceremony,movie.locations,train
1974,1974,search for actors,NO_REL,NO_REL,train
1984,1984,find directors,NO_REL,NO_REL,train
2659,2659,find war movies rated r,movie.rating movie.subjects,movie.rating,train
2817,2817,i am interested in what cabin in the woods made in revenue,movie.gross_revenue,movie.gross_revenue,train
1287,1287,show me the movies directed by steven spielberg,movie.directed_by,movie.directed_by,train
2275,2275,show me the rating for cabin in the woods,movie.rating,movie.rating,train
3298,3298,what are the reviews for life is beautiful,movie.review,movie.review,train
689,689,please find what language the chaser is in,movie.language,movie.language,train
822,822,find a movie,NO_REL,NO_REL,train
633,633,what genre is the movie,movie.genre,movie.genre,train
1425,1425,show recent films starring bruce willis,movie.starring.actor movie.initial_release_date,movie.starring.actor,train
2733,2733,what movie rating is the anchorman,movie.rating,movie.rating,train
2986,2986,how popular do you think the movie will be,movie_other,movie_other,train
3172,3172,display the video of finding nemo twenty oh three,movie.media movie.initial_release_date,movie.media,train
398,398,release twilight,movie.initial_release_date,movie.initial_release_date,train
996,996,i would like to get a list of movie names in hindi language,movie.language,movie.language,train
505,505,avatar was directed by whom,movie.directed_by,movie.directed_by,train
2103,2103,who was the producer for the movie hitch,movie.produced_by,movie.produced_by,train
1970,1970,find me info on emma watson,NO_REL,NO_REL,train
145,145,actress in hum tum,movie.starring.actor,movie.starring.actor,train
953,953,please show me all of the films that involve kevin bacon,movie.starring.actor,movie.starring.actor,train
467,467,who directed gone with the wind,movie.directed_by,movie.directed_by,train
2288,2288,what was the gross profit for twilight,movie.gross_revenue,movie.gross_revenue,train
1312,1312,give me a list of movies made in france,movie.country,movie.country,train
3232,3232,jennifer lawrence new movie,movie.starring.actor movie.initial_release_date,movie.starring.actor,train
2549,2549,are there any danish language films around,movie.language,movie.language,train
1058,1058,show me life is beautiful information,NO_REL,NO_REL,train
3242,3242,what movies are playing in mexico,movie.release release.date release.region,movie.release,train
3089,3089,list page,other,other,train
1467,1467,frank capra movies,movie.directed_by,movie.directed_by,train
504,504,who directed hope floats,movie.directed_by,movie.directed_by,train
2081,2081,warner brothers bio,NO_REL,NO_REL,train
3305,3305,show me reviews for the movies in orange,movie.review,movie.review,train
2936,2936,info zombies,other,other,train
1325,1325,list french movies,movie.country movie.language,movie.country,train
579,579,i am interested in who directed cabin in the woods,movie.directed_by,movie.directed_by,train
2767,2767,how much money did hitch make,movie.gross_revenue,movie.gross_revenue,train
2868,2868,feature films,movie_other,movie_other,train
537,537,i want to know who directed finding nemo,movie.directed_by,movie.directed_by,train
1016,1016,what are some movies that were produced in europe,movie.country,movie.country,train
27,27,star of troy,movie.starring.actor,movie.starring.actor,train
2872,2872,most translated foreign film,movie_other,movie_other,train
3304,3304,show me the reviews on the movie the campaign,movie.review,movie.review,train
806,806,show me horror movie earnings,movie.gross_revenue movie.genre,movie.gross_revenue,train
2123,2123,please show me who produces madagascar,movie.produced_by,movie.produced_by,train
2663,2663,pull up films with flowers in the title,NO_REL,NO_REL,train
714,714,what are the names of movies made in the united states,movie.country,movie.country,train
459,459,what is the release date for house at the end of the street,movie.initial_release_date,movie.initial_release_date,train
2420,2420,when was star wars released,movie.initial_release_date,movie.initial_release_date,train
641,641,what type of movie is this,movie.genre,movie.genre,train
961,961,show me movies about time travel,movie.subjects,movie.subjects,train
337,337,please tell me when was the movie gone with the wind released,movie.initial_release_date,movie.initial_release_date,train
3223,3223,show me names of some famous movies in hindi language,movie.language movie.star_rating,movie.language,train
867,867,clint eastwood movies,movie.starring.actor,movie.starring.actor,train
1104,1104,find movies from miramax,movie.production_companies,movie.production_companies,train
2029,2029,show me a bio of will ferrell,NO_REL,NO_REL,train
2684,2684,find goodfellas in german,movie.language,movie.language,train
2160,2160,producer for slumdog millionaire,movie.produced_by,movie.produced_by,train
1137,1137,play movies from turkey,movie.country,movie.country,train
2302,2302,what were the gross receipts for the avengers,movie.gross_revenue,movie.gross_revenue,train
3198,3198,display movies made in country,movie.country,movie.country,train
1533,1533,do you have in movies in german,movie.language,movie.language,train
436,436,when did vulgaria come out,movie.initial_release_date,movie.initial_release_date,train
2850,2850,search by actor,movie_other,movie_other,train
896,896,show me movies in italian,movie.language,movie.language,train
3218,3218,what movie is robert wise famous for directing,movie.directed_by movie.star_rating,movie.directed_by,train
3125,3125,how many movies has he directed this season,movie.directed_by movie.initial_release_date,movie.directed_by,train
2422,2422,show me a list of german directors,movie.directed_by director.nationality,movie.directed_by,train
980,980,show me england movies,movie.country,movie.country,train
2997,2997,in search of the map of canada,other,other,train
885,885,find movies done in germany,movie.country,movie.country,train
3126,3126,how many movies has he directed,movie.directed_by,movie.directed_by,train
2853,2853,search by producer,movie_other,movie_other,train
3280,3280,what were the reviews for dirty dancing,movie.review,movie.review,train
1084,1084,which movies were made in japan,movie.country,movie.country,train
4,4,who played dory on finding nemo,movie.starring.actor movie.starring.character,movie.starring.actor,train
945,945,show me movies in french,movie.language,movie.language,train
1819,1819,give me a list of movies produced by george lucas,movie.produced_by,movie.produced_by,train
2372,2372,what was the budget for puss in boots,movie.estimated_budget,movie.estimated_budget,train
67,67,show me the cast of finding nemo,movie.starring.actor,movie.starring.actor,train
530,530,goodfellas director,movie.directed_by,movie.directed_by,train
334,334,i want to know when 24 will be released,movie.initial_release_date,movie.initial_release_date,train
3115,3115,want page,other,other,train
2234,2234,rating for dark knight,movie.rating,movie.rating,train
1838,1838,can you show me details about the movie the campaign,NO_REL,NO_REL,train
1919,1919,what are the top grossing movies,movie.gross_revenue gr.amount,movie.gross_revenue,train
80,80,who were the stars of dirty dancing,movie.starring.actor,movie.starring.actor,train
1629,1629,what movies did matt damon appear in,movie.starring.actor,movie.starring.actor,train
94,94,who was the lead actor in the avengers,movie.starring.actor,movie.starring.actor,train
283,283,show me the name of the country for the movie thoda pyaar thoda magic,movie.country,movie.country,train
3315,3315,where is movie playing,movie.showing,movie.showing,train
1915,1915,did rob reiner direct any movies,movie.directed_by,movie.directed_by,train
605,605,what was the name of the director in men in black 3,movie.directed_by,movie.directed_by,train
1514,1514,look for kareena's movies,movie.starring.actor,movie.starring.actor,train
2324,2324,what is the length of the sound of music,rt.runtime movie.runtime,rt.runtime,train
3259,3259,what does stephen spielberg look like,person.picture,person.picture,train
3188,3188,what are the top rated movies this year,movie.star_rating movie.initial_release_date,movie.star_rating,train
576,576,find the director of hum tum,movie.directed_by,movie.directed_by,train
259,259,how many films has taye diggs been in,movie.starring.actor,movie.starring.actor,train
277,277,how many films has ed harris starred in,movie.starring.actor,movie.starring.actor,train
925,925,spanish movies,movie.country movie.language,movie.country,train
1096,1096,sort in all japanese movies,movie.country movie.language,movie.country,train
502,502,who made godzilla,movie.directed_by movie.produced_by,movie.directed_by,train
994,994,list the hindi movies,movie.language,movie.language,train
2007,2007,see the olsen twins,NO_REL,NO_REL,train
2107,2107,what company produced the movie field of dreams,movie.production_companies,movie.production_companies,train
33,33,who are the actors in captain america,movie.starring.actor,movie.starring.actor,train
1611,1611,show me movies in spanish,movie.language,movie.language,train
1577,1577,rate r movies for adult enterainment,movie.rating,movie.rating,train
2866,2866,brazil info on movies,movie_other,movie_other,train
3311,3311,i want a synopsis for the movie in july,movie.synopsis,movie.synopsis,train
1105,1105,see miramax movies,movie.production_companies,movie.production_companies,train
2613,2613,find movies about classic cars,movie.subjects,movie.subjects,train
2557,2557,see movies in punjabi,movie.language,movie.language,train
828,828,show me a list of movies in english,movie.language,movie.language,train
2900,2900,what are sone other movies house at the end of the street,movie_other,movie_other,train
784,784,bings movie page finding nemo,NO_REL,NO_REL,train
3042,3042,what age group is an r movie appropriate for,movie_other,movie_other,train
912,912,find spanish movies,movie.country movie.language,movie.country,train
452,452,find the release date for heroine,movie.initial_release_date,movie.initial_release_date,train
1555,1555,can you show me a movie with brad pitt,movie.starring.actor,movie.starring.actor,train
1097,1097,do you have a list of japanese movies,movie.country movie.language,movie.country,train
369,369,when was dirty dancing released,movie.initial_release_date,movie.initial_release_date,train
2147,2147,see lionsgate info,NO_REL,NO_REL,train
792,792,display all details of original finding nemo movie,NO_REL,NO_REL,train
1110,1110,movies with vampires,movie.subjects,movie.subjects,train
2467,2467,get me the names of movies about sports figures,movie.subjects,movie.subjects,train
2018,2018,can you show me information on will ferrell please,NO_REL,NO_REL,train
514,514,who made the movie avatar,movie.directed_by,movie.directed_by,train
2674,2674,did albert ruddy produce all of the godfather movies,movie.produced_by,movie.produced_by,train
1563,1563,show brad pitt movies,movie.starring.actor,movie.starring.actor,train
2273,2273,i would like to know the rating for cabin in the woods,movie.rating,movie.rating,train
1491,1491,what other movies die charles vidor direct,movie.directed_by,movie.directed_by,train
90,90,who are all of the actors in hitch,movie.starring.actor,movie.starring.actor,train
1542,1542,show me a list of movies that christian bale has starred in during his career,movie.starring.actor,movie.starring.actor,train
2289,2289,how much did et gross worldwide,movie.gross_revenue,movie.gross_revenue,train
2366,2366,what was the budget for nightmare on elm street,movie.estimated_budget,movie.estimated_budget,train
2284,2284,look up the rating for the movie dredd,movie.rating,movie.rating,train
2421,2421,what year did robert wise direct sound of music,movie.initial_release_date movie.directed_by,movie.initial_release_date,train
2233,2233,what is the rating for dark knight,movie.rating,movie.rating,train
1082,1082,what are some movies made in japan,movie.country,movie.country,train
3016,3016,rating scale to rate guidance,movie_other,movie_other,train
1400,1400,i hope this movie would be in english,movie.language,movie.language,train
2579,2579,find sports movies rated pg,movie.rating movie.subjects,movie.rating,train
453,453,please find the release date of heroine,movie.initial_release_date,movie.initial_release_date,train
2527,2527,what movies were released nine fourteen twelve,movie.initial_release_date,movie.initial_release_date,train
516,516,who directed star wars four,movie.directed_by,movie.directed_by,train
3045,3045,what are some flags of the world,other,other,train
2877,2877,bings stuff steven spielberg,movie_other,movie_other,train
1580,1580,find movies with r ratings,movie.rating,movie.rating,train
2955,2955,can i see a list of movie genres,movie_other,movie_other,train
2087,2087,information for vivian lee,NO_REL,NO_REL,train
1309,1309,i want to see movies from france,movie.country,movie.country,train
796,796,what did lee unkrich direct,movie.directed_by,movie.directed_by,train
2779,2779,find revenue generated by kahani,movie.gross_revenue,movie.gross_revenue,train
1138,1138,what movies have come out of turkey,movie.country,movie.country,train
1428,1428,get john cusack movies for me,movie.starring.actor,movie.starring.actor,train
1803,1803,look up movies in chinese,movie.language,movie.language,train
2274,2274,kindly show me the rating for cabin in the woods,movie.rating,movie.rating,train
3036,3036,thirty dance,other,other,train
2688,2688,house to akrend street,NO_REL,NO_REL,train
630,630,what genre is the movie in july,movie.genre,movie.genre,train
2728,2728,who produced star wars,movie.produced_by,movie.produced_by,train
235,235,provide the cost for producing the deer hunter,movie.estimated_budget,movie.estimated_budget,train
1189,1189,i want a list of movies rated g,movie.rating,movie.rating,train
860,860,show only horror movies,movie.genre,movie.genre,train
2982,2982,how do they determine the rating levels for movies,movie_other,movie_other,train
2110,2110,what company produced cabin in the woods,movie.production_companies,movie.production_companies,train
1262,1262,please find the movies by steven spielberg,movie.directed_by,movie.directed_by,train
1440,1440,finding nemo,NO_REL,NO_REL,train
3148,3148,i need to know the name of the mom on seinfeld,movie.starring.actor movie.starring.character,movie.starring.actor,train
674,674,what are the different languages this movie come in,movie.language,movie.language,train
2888,2888,where does tom cruise live,movie_other,movie_other,train
2517,2517,show all sy fi movies for twenty twelve,movie.genre movie.initial_release_date,movie.genre,train
551,551,who directed grizzly man,movie.directed_by,movie.directed_by,train
1959,1959,in july information,NO_REL,NO_REL,train
1707,1707,take me to star wars four page,NO_REL,NO_REL,train
2446,2446,name star wars director,movie.directed_by,movie.directed_by,train
2760,2760,how much did this movie make,movie.gross_revenue,movie.gross_revenue,train
271,271,how many movies has woody allen directed,movie.directed_by,movie.directed_by,train
78,78,who starred in dirty dancing,movie.starring.actor,movie.starring.actor,train
3308,3308,is star wars four any good,movie.star_rating,movie.star_rating,train
2048,2048,learn more about kristen stewart,NO_REL,NO_REL,train
2244,2244,what rating is superman,movie.rating,movie.rating,train
1069,1069,portugese movies,movie.country movie.language,movie.country,train
844,844,movies from the us,movie.country,movie.country,train
2490,2490,find movies directed by the man who played as john on chips,movie.starring.actor movie.starring.character movie.directed_by,movie.starring.actor,train
727,727,what movies did stephen king direct,movie.directed_by,movie.directed_by,train
2856,2856,search by type,movie_other,movie_other,train
109,109,show the cast of hitch,movie.starring.actor,movie.starring.actor,train
1613,1613,find movies in spanish,movie.language,movie.language,train
1532,1532,display movies in german,movie.language,movie.language,train
2349,2349,i would like to know the name of the actor who played todd in the tv show one life to live,movie.starring.actor movie.starring.character,movie.starring.actor,train
2291,2291,what were et's revenues,movie.gross_revenue,movie.gross_revenue,train
57,57,i want to find information about the cast of apollo thirteen,movie.starring.actor,movie.starring.actor,train
2720,2720,production company for amityville horror,movie.production_companies,movie.production_companies,train
2014,2014,bio on will ferrell,NO_REL,NO_REL,train
3226,3226,show me a list of movies made by the producer,movie.produced_by,movie.produced_by,train
1266,1266,steven spielberg movies,movie.directed_by,movie.directed_by,train
2389,2389,what country did downton abbey come from,movie.country,movie.country,train
1614,1614,find movies in spanish,movie.language,movie.language,train
1395,1395,movies by mel gibson,movie.directed_by,movie.directed_by,train
712,712,can you tell me names of some movies by director martin scorsese,movie.directed_by,movie.directed_by,train
169,169,budget for the blind side,movie.estimated_budget,movie.estimated_budget,train
3023,3023,show information in turkish,other,other,train
2647,2647,period movies,movie.subjects,movie.subjects,train
70,70,who stars in finding nemo,movie.starring.actor,movie.starring.actor,train
1655,1655,display movies of zombies,movie.subjects,movie.subjects,train
696,696,what language is the professional in,movie.language,movie.language,train
1469,1469,what movies does jake gyllenhaal star in,movie.starring.actor,movie.starring.actor,train
22,22,who played in life is beautiful,movie.starring.actor,movie.starring.actor,train
1170,1170,find pg thirteen movies,movie.rating,movie.rating,train
83,83,who played in the oranges,movie.starring.actor,movie.starring.actor,train
1103,1103,find movies in british english,movie.language,movie.language,train
1556,1556,i want to watch movies with brad pitt,movie.starring.actor,movie.starring.actor,train
754,754,what are some films will ferrell starred in,movie.starring.actor,movie.starring.actor,train
2196,2196,search mgm studios,NO_REL,NO_REL,train
2217,2217,who produced the godfather,movie.produced_by,movie.produced_by,train
2165,2165,what is the history behind paramount,NO_REL,NO_REL,train
678,678,what language is the movie in,movie.language,movie.language,train
2511,2511,what movies has tom cruise directed,movie.directed_by,movie.directed_by,train
127,127,cast and crew for the movie house at the end of the street,movie.starring.actor,movie.starring.actor,train
2238,2238,what is the rating for the movie ants,movie.rating,movie.rating,train
2645,2645,list movies about libraries,movie.subjects,movie.subjects,train
1120,1120,find a movie with mel gibson,movie.starring.actor,movie.starring.actor,train
2195,2195,who produced casino royale,movie.produced_by,movie.produced_by,train
218,218,budget for the avengers,movie.estimated_budget,movie.estimated_budget,train
2861,2861,where can i rent this movie,movie_other,movie_other,train
1169,1169,what movies are rated pg thirteen,movie.rating,movie.rating,train
823,823,are there movies not rated g,movie.rating,movie.rating,train
1918,1918,what movies made the most money,movie.gross_revenue gr.amount,movie.gross_revenue,train
2863,2863,are any of these directors dead,movie_other,movie_other,train
2052,2052,i want to know about spielberg,NO_REL,NO_REL,train
778,778,movies with meg ryan,movie.starring.actor,movie.starring.actor,train
2224,2224,is this movie suitable for small children,movie.rating,movie.rating,train
895,895,movies with italian language,movie.language,movie.language,train
2380,2380,can you tell me the budget for cabin in the woods,movie.estimated_budget,movie.estimated_budget,train
1148,1148,find movies produced by mel gibson,movie.produced_by,movie.produced_by,train
1080,1080,show me movies from japan,movie.country,movie.country,train
2987,2987,i love alfred hitchcock,other,other,train
112,112,what was the cast of hitch,movie.starring.actor,movie.starring.actor,train
333,333,do you know when 24 will be released,movie.initial_release_date,movie.initial_release_date,train
3179,3179,what is the worst french film to date,movie.country movie.star_rating,movie.country,train
44,44,show me the actor of the movie sirisiri muvva,movie.starring.actor,movie.starring.actor,train
147,147,who is in barfi,movie.starring.actor,movie.starring.actor,train
1446,1446,i would like to see finding nemo's page,NO_REL,NO_REL,train
758,758,will ferrell movies,movie.starring.actor,movie.starring.actor,train
2056,2056,show me spielberg's main page,NO_REL,NO_REL,train
106,106,hitch crew,movie.starring.actor,movie.starring.actor,train
2124,2124,look for the producer of heroine,movie.produced_by,movie.produced_by,train
1736,1736,in which movies has angelina jolie starred,movie.starring.actor,movie.starring.actor,train
1971,1971,show me more information about will smith,NO_REL,NO_REL,train
1447,1447,information on finding nemo,NO_REL,NO_REL,train
3249,3249,find shows about cars,movie.subjects,movie.subjects,train
1545,1545,what movies has christian bale acted in,movie.starring.actor,movie.starring.actor,train
2689,2689,show me the movie lionsgate,NO_REL,NO_REL,train
3137,3137,who played opposite sidney poitier in shoot to kill,movie.starring.actor movie.starring.character,movie.starring.actor,train
2044,2044,show all relevant information about the director steven spielberg,NO_REL,NO_REL,train
481,481,which director directed a hard day's night,movie.directed_by,movie.directed_by,train
2963,2963,did you have conflits with anyone,other,other,train
1724,1724,i would like to get detailed information about the movie in july,NO_REL,NO_REL,train
666,666,what catergory is ted in,movie.genre,movie.genre,train
2312,2312,can i see the lion king's revenue,movie.gross_revenue,movie.gross_revenue,train
991,991,show me the latest movies in tamil,movie.language,movie.language,train
1785,1785,find me info on house at the end of the street,NO_REL,NO_REL,train
635,635,how would you describe the movie,movie.genre,movie.genre,train
1740,1740,show me all movies for angelina jolie,movie.starring.actor,movie.starring.actor,train
3268,3268,who produced the motion picture the devil wears prada,movie.produced_by,movie.produced_by,train
97,97,who was in black swan,movie.starring.actor,movie.starring.actor,train
1207,1207,find movies with g rating,movie.rating,movie.rating,train
1450,1450,open page for finding nemo,NO_REL,NO_REL,train
3082,3082,find all criteria,other,other,train
2021,2021,goto will ferrell biography,NO_REL,NO_REL,train
285,285,i need to know the name of the country to which the movie kati patang belongs to,movie.country,movie.country,train
2344,2344,show me cast and crew for star wars,movie.starring.actor,movie.starring.actor,train
1758,1758,johnny depp movies,movie.starring.actor,movie.starring.actor,train
142,142,what is the cast in resident evil retribution,movie.starring.actor,movie.starring.actor,train
2246,2246,tell me the rating of the movie grease,movie.rating,movie.rating,train
1941,1941,what movie made the least money,movie.gross_revenue gr.amount,movie.gross_revenue,train
2565,2565,search movies acted in sweden,movie.locations,movie.locations,train
810,810,what movies has clive owen been in,movie.starring.actor,movie.starring.actor,train
421,421,when was black swan released,movie.initial_release_date,movie.initial_release_date,train
2114,2114,get me the think like a man movie producer,movie.produced_by,movie.produced_by,train
2745,2745,what was black swan's revenue,movie.gross_revenue,movie.gross_revenue,train
753,753,movies will ferrell played in,movie.starring.actor,movie.starring.actor,train
2551,2551,showcase all movies in 2012 that are in french,movie.language movie.initial_release_date,movie.language,train
499,499,find the director of big,movie.directed_by,movie.directed_by,train
2443,2443,who directed the good,movie.directed_by,movie.directed_by,train
2524,2524,what movies where released in aug of twenty eleven,movie.initial_release_date,movie.initial_release_date,train
842,842,show me movies made in america,movie.country,movie.country,train
2797,2797,can you please tell me about the revenue for the movie mr and mrs smith,movie.gross_revenue,movie.gross_revenue,train
1695,1695,can you show me details about the movie star wars:episode four - a new hope,NO_REL,NO_REL,train
